Equipo,Puntos
Barcelona,47
Real Madrid,41
R. Sociedad,38
Atlético,31
Villarreal,31
Betis,31
Osasuna,28
Athletic,26
Rayo,26
Mallorca,25
Almería,22
Girona,21
Sevilla,21
Valencia,20
Espanyol,20
Cádiz,19
Getafe,17
Celta,17
Real Valladolid,17
Elche,6
